date,time_of_day,open_interest
2024-09-06,15:00:00,53723.8
2024-09-06,15:30:00,53540.0
2024-09-06,16:00:00,53635.2
2024-09-06,16:30:00,53514.9
2024-09-06,17:00:00,53540.5
2024-09-06,17:30:00,52959.0
2024-09-06,18:00:00,52985.8
2024-09-06,18:30:00,53592.3
2024-09-06,19:00:00,53750.1
2024-09-06,19:30:00,53678.8
2024-09-06,20:00:00,53711.2
2024-09-06,20:30:00,53865.4
2024-09-06,21:00:00,53959.3
2024-09-06,21:30:00,53979.1
2024-09-06,22:00:00,53874.4
2024-09-06,22:30:00,53836.9
2024-09-06,23:00:00,53866.6
2024-09-06,23:30:00,53818.0
2024-09-07,00:00:00,53817.1
2024-09-07,00:30:00,53838.1
2024-09-07,01:00:00,53831.5
2024-09-07,01:30:00,53920.8
2024-09-07,02:00:00,54188.9
2024-09-07,02:30:00,54224.9
2024-09-07,03:00:00,54143.1
2024-09-07,03:30:00,54264.1
2024-09-07,04:00:00,54329.7
2024-09-07,04:30:00,54292.6
2024-09-07,05:00:00,54256.4
2024-09-07,05:30:00,54339.3
2024-09-07,06:00:00,54307.9
2024-09-07,06:30:00,54228.7
2024-09-07,07:00:00,54359.3
2024-09-07,07:30:00,54372.1
2024-09-07,08:00:00,54380.9
2024-09-07,08:30:00,54391.5
2024-09-07,09:00:00,54403.0
2024-09-07,09:30:00,54517.7
2024-09-07,10:00:00,54593.4
2024-09-07,10:30:00,54556.3
2024-09-07,11:00:00,54595.8
2024-09-07,11:30:00,54562.7
2024-09-07,12:00:00,54681.8
2024-09-07,12:30:00,54767.6
2024-09-07,13:00:00,54757.7
2024-09-07,13:30:00,54518.2
2024-09-07,14:00:00,54431.2
2024-09-07,14:30:00,54181.3
2024-09-07,15:00:00,54132.9
2024-09-07,15:30:00,54311.0
2024-09-07,16:00:00,54285.6
2024-09-07,16:30:00,54379.9
2024-09-07,17:00:00,54327.1
2024-09-07,17:30:00,54221.2
2024-09-07,18:00:00,54025.7
2024-09-07,18:30:00,53994.6
2024-09-07,19:00:00,53976.4
2024-09-07,19:30:00,53932.1
2024-09-07,20:00:00,53907.7
2024-09-07,20:30:00,54099.6
2024-09-07,21:00:00,54105.2
2024-09-07,21:30:00,54046.5
2024-09-07,22:00:00,54249.8
2024-09-07,22:30:00,54219.0
2024-09-07,23:00:00,54364.7
2024-09-07,23:30:00,54377.5
2024-09-08,00:00:00,54356.2
2024-09-08,00:30:00,54321.6
2024-09-08,01:00:00,54399.0
2024-09-08,01:30:00,54495.9
2024-09-08,02:00:00,54475.9
2024-09-08,02:30:00,54371.6
2024-09-08,03:00:00,54395.3
2024-09-08,03:30:00,54296.5
2024-09-08,04:00:00,54434.8
2024-09-08,04:30:00,54488.6
2024-09-08,05:00:00,54387.8
2024-09-08,05:30:00,54389.7
2024-09-08,06:00:00,54563.5
2024-09-08,06:30:00,54547.4
2024-09-08,07:00:00,54536.6
2024-09-08,07:30:00,54594.6
2024-09-08,08:00:00,54623.5
2024-09-08,08:30:00,54578.4
2024-09-08,09:00:00,54454.3
2024-09-08,09:30:00,54335.0
2024-09-08,10:00:00,54166.4
2024-09-08,10:30:00,54298.9
2024-09-08,11:00:00,54224.5
2024-09-08,11:30:00,54194.2
2024-09-08,12:00:00,54007.0
2024-09-08,12:30:00,53877.8
2024-09-08,13:00:00,53818.8
2024-09-08,13:30:00,53934.9
2024-09-08,14:00:00,54122.7
2024-09-08,14:30:00,54425.4
2024-09-08,15:00:00,54402.3
2024-09-08,15:30:00,54371.3
2024-09-08,16:00:00,54367.0
2024-09-08,16:30:00,54348.3
2024-09-08,17:00:00,54315.7
2024-09-08,17:30:00,54249.2
2024-09-08,18:00:00,54484.2
2024-09-08,18:30:00,54452.1
2024-09-08,19:00:00,54940.6
2024-09-08,19:30:00,54896.7
2024-09-08,20:00:00,54796.5
2024-09-08,20:30:00,54891.5
2024-09-08,21:00:00,54982.1
2024-09-08,21:30:00,54924.4
2024-09-08,22:00:00,55215.1
2024-09-08,22:30:00,55149.2
2024-09-08,23:00:00,54971.3
2024-09-08,23:30:00,54962.8
2024-09-09,00:00:00,54930.0
2024-09-09,00:30:00,55116.5
2024-09-09,01:00:00,55044.9
2024-09-09,01:30:00,54916.7
2024-09-09,02:00:00,54754.0
2024-09-09,02:30:00,54763.2
2024-09-09,03:00:00,54787.7
2024-09-09,03:30:00,54885.4
2024-09-09,04:00:00,54859.2
2024-09-09,04:30:00,54960.4
2024-09-09,05:00:00,55107.6
2024-09-09,05:30:00,55215.4
2024-09-09,06:00:00,55426.1
2024-09-09,06:30:00,55199.6
2024-09-09,07:00:00,55251.1
2024-09-09,07:30:00,55411.3
2024-09-09,08:00:00,55220.9
2024-09-09,08:30:00,55285.1
2024-09-09,09:00:00,55166.0
2024-09-09,09:30:00,55145.2
